snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1589255186,800,188,50.94873,1.37804,3852,71,1177
1589255192,800,202,50.94672,1.37703,3852,68,1177
1589255198,800,214,50.94510,1.37550,3852,69,1177
1589255204,800,229,50.94365,1.37344,3852,67,1177
1589255210,800,239,50.94253,1.37100,3852,67,1177
1589255222,800,261,50.94145,1.36594,3852,62,1177
1589255264,800,324,50.94548,1.35206,3852,44,1177
1589255276,800,342,50.94772,1.35035,3852,46,1177
1589255286,800,357,50.94984,1.34979,3852,43,1177
1589255310,800,24,50.95445,1.35124,3852,42,1177
1589255316,800,32,50.95547,1.35223,3852,44,1177
1589255322,800,42,50.95655,1.35346,3852,46,1177
1589255330,800,53,50.95776,1.35574,3852,45,1177
1589255336,800,62,50.95844,1.35755,3852,46,1177
1589255342,800,70,50.95896,1.35941,3852,46,1177
1589255352,800,84,50.95938,1.36246,3852,49,1177
1589255375,800,122,50.95799,1.37169,3852,61,1177
1589255381,800,132,50.95696,1.37375,3852,60,1177
1589255388,800,144,50.95560,1.37567,3852,66,1177
1589255396,800,155,50.95315,1.37764,3852,68,1177
1589255402,800,155,50.95133,1.37825,3852,68,1177
1589255408,800,184,50.94970,1.37825,3852,70,1177
1589255414,800,199,50.94747,1.37756,3852,69,1177
1589255420,800,212,50.94562,1.37611,3852,68,1177
1589255426,800,224,50.94406,1.37418,3852,67,1177
1589255432,800,235,50.94292,1.37196,3852,61,1177
1589255438,800,246,50.94211,1.36970,3852,62,1177
1589255444,800,257,50.94160,1.36711,3852,62,1177
1589255486,800,323,50.94514,1.35239,3852,45,1177
1589255492,800,332,50.94626,1.35132,3852,45,1177
1589255498,800,340,50.94745,1.35050,3852,44,1177
1589255510,800,354,50.94978,1.34976,3852,41,1177
1589255516,800,2,50.95088,1.34976,3852,41,1177
1589255522,800,8,50.95198,1.34994,3852,40,1177
1589255528,800,17,50.95317,1.35043,3852,40,1177
1589255534,800,24,50.95432,1.35110,3852,42,1177
1589255540,800,32,50.95541,1.35206,3852,42,1177
1589255546,800,40,50.95642,1.35325,3852,43,1177
1589255556,800,52,50.95761,1.35536,3852,44,1177
1589255562,800,61,50.95831,1.35704,3852,43,1177
1589255568,800,66,50.95880,1.35867,3852,43,1177
1589255574,800,77,50.95921,1.36082,3852,45,1177
1589255580,800,85,50.95940,1.36282,3852,46,1177
1589255586,800,91,50.95943,1.36482,3852,49,1177
1589255592,800,102,50.95920,1.36704,3852,50,1177
1589255598,800,110,50.95878,1.36932,3852,54,1177
1589255604,800,122,50.95808,1.37146,3852,56,1177
1589255610,800,129,50.95725,1.37329,3852,56,1177
1589255616,800,142,50.95589,1.37535,3852,60,1177
